pie,census.year,Gender,mean_empin.roundedVals
80,2016,Men,44.2
80,2021,Men,46.1
81,2001,Men,38.5
81,2006,Men,39.4
81,2011,Men,43.3
81,2016,Men,45
81,2021,Men,47
82,2001,Men,38.9
82,2006,Men,40.1
82,2011,Men,44.1
82,2016,Men,45.9
82,2021,Men,48
83,2001,Men,39.8
83,2006,Men,40.9
83,2011,Men,45
83,2016,Men,47
83,2021,Men,49.1
84,2001,Men,40.7
84,2006,Men,41.7
84,2011,Men,46
84,2016,Men,48
84,2021,Men,50.4
85,2001,Men,41.6
85,2006,Men,42.6
85,2011,Men,47
85,2016,Men,49.2
85,2021,Men,51.7
86,2001,Men,42.6
86,2006,Men,43.5
86,2011,Men,48.2
86,2016,Men,50.4
86,2021,Men,53.2
87,2001,Men,43.5
87,2006,Men,44.6
87,2011,Men,49.3
87,2016,Men,51.8
87,2021,Men,54.9
88,2001,Men,44.7
88,2006,Men,45.8
88,2011,Men,50.8
88,2016,Men,53.4
88,2021,Men,56.9
89,2001,Men,46
89,2006,Men,47
89,2011,Men,52.4
89,2016,Men,55.2
89,2021,Men,59.2
90,2001,Men,47.4
90,2006,Men,48.4
90,2011,Men,54.2
90,2016,Men,57.2
90,2021,Men,61.9
91,2001,Men,48.7
91,2006,Men,50.1
91,2011,Men,56.3
91,2016,Men,59.7
91,2021,Men,65.4
92,2001,Men,50.6
92,2006,Men,52
92,2011,Men,58.8
92,2016,Men,62.8
92,2021,Men,69.6
93,2001,Men,52.9
93,2006,Men,54.3
93,2011,Men,61.9
93,2016,Men,66.4
93,2021,Men,75.2
94,2001,Men,56.1
94,2006,Men,57
94,2011,Men,65.8
94,2016,Men,71.2
94,2021,Men,83
95,2001,Men,59.8
95,2006,Men,60.9
95,2011,Men,70.8
95,2016,Men,77.4
95,2021,Men,95
96,2001,Men,65.6
96,2006,Men,66.4
96,2011,Men,77.8
96,2016,Men,86.4
96,2021,Men,114.6
97,2001,Men,74.8
97,2006,Men,75
97,2011,Men,89.4
97,2016,Men,101.2
97,2021,Men,152.8
98,2001,Men,92.6
98,2006,Men,92.8
98,2011,Men,115.2
98,2016,Men,130
98,2021,Men,244
99,2001,Men,147.6
99,2006,Men,149.2
99,2011,Men,194
99,2016,Men,227.6
99,2021,Men,454
100,2001,Men,583
100,2006,Men,664
100,2011,Men,804
100,2016,Men,906
100,2021,Men,1480
