name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Results oriented,Social-Emotional Skills,Personal qualities,2054,169.77621088791054,0,0.28911863858058795,NA
Retail management software,Technologies,Data base user interface and query software,9,137.24641201122256,1,0.0012668294777143582,Workforce digital skills
Retail setting,Social-Emotional Skills,Personal qualities,295,199.69561031629704,0,0.04152385510285952,NA
Retarders,Tools and Equipment,Miscellaneous or unclassified,28,217.6853039526881,0,0.0039412472640002255,NA
Retinal cameras,Tools and Equipment,Miscellaneous or unclassified,2,133.266689980438,0,2.815176617143018e-4,NA
Retractors,Tools and Equipment,Miscellaneous or unclassified,24,181.05816980851534,0,0.0033782119405716213,NA
RETScreen,Technologies,Analytical or scientific software,20,98.58018729529817,1,0.002815176617143018,Industrial Modelling and Geospatial Software skills
Reverse osmosis systems,Tools and Equipment,Miscellaneous or unclassified,7,270.2154694757765,0,9.853118160000564e-4,NA
Revision control software,Technologies,Configuration management software,9,5.177219732220249,1,0.0012668294777143582,Software/Product Development skills
Rigging,Occupational Skills,Transportation,2213,326.77901822392556,0,0.31149929268687493,NA
Rigging equipment,Tools and Equipment,Transportation and warehousing,227,296.8174060088553,0,0.03195225460457325,NA
Riggings,Tools and Equipment,Miscellaneous or unclassified,1,193.58853831152152,0,1.407588308571509e-4,NA
Ring gauges,Tools and Equipment,Miscellaneous or unclassified,3,146.42942845668986,0,4.2227649257145267e-4,NA
Rip saws,Tools and Equipment,Miscellaneous or unclassified,1,261.415126239786,0,1.407588308571509e-4,NA
Risk analysis software,Technologies,Analytical or scientific software,6,173.97327757443475,1,8.445529851429053e-4,Workforce digital skills
Risk assessment software,Technologies,Network security or virtual private network VPN management software,8,58.71465519780283,1,0.0011260706468572072,Industrial Modelling and Geospatial Software skills
Risk Management,Occupational Skills,Business planning and operations,16200,140.81124543160433,0,2.2802930598858446,NA
Risk management software,Technologies,Analytical or scientific software,12,84.85096592674999,1,0.0016891059702858107,Workforce digital skills
Rivet guns,Tools and Equipment,Miscellaneous or unclassified,6,346.3666541945686,0,8.445529851429053e-4,NA
Riveters,Tools and Equipment,Miscellaneous or unclassified,8,308.11965610964376,0,0.0011260706468572072,NA
Riveting tools,Tools and Equipment,Miscellaneous or unclassified,2,333.27270088313156,0,2.815176617143018e-4,NA
Road design software,Technologies,Computer aided design CAD software,3,131.2629902616482,1,4.2227649257145267e-4,Industrial Modelling and Geospatial Software skills
Roasting equipment,Tools and Equipment,Miscellaneous or unclassified,1,290.58934044913025,0,1.407588308571509e-4,NA
Robot Framework,Technologies,Program testing software,75,31.492904450271855,1,0.010556912314286317,Software/Product Development skills
Robotic arms,Tools and Equipment,Miscellaneous or unclassified,5,158.86790035994795,0,7.037941542857545e-4,NA
Robotic cameras,Tools and Equipment,Miscellaneous or unclassified,1,310.70537542018246,0,1.407588308571509e-4,NA
Robotic machines,Tools and Equipment,Miscellaneous or unclassified,12,162.66783462867537,0,0.0016891059702858107,NA
Robotics,Occupational Skills,Manufacturing,1041,144.9274831396865,0,0.14652994292229407,NA
Rock drills,Tools and Equipment,Miscellaneous or unclassified,1,358.5605052322934,0,1.407588308571509e-4,NA
Rock saws,Tools and Equipment,Miscellaneous or unclassified,2,324.62076606124134,0,2.815176617143018e-4,NA
Rockwell Automation,Technologies,Development environment software,59,140.504418676119,1,0.008304771020571903,Industrial Modelling and Geospatial Software skills
Rockwell RSLogix,Technologies,Program testing software,1,73.7437371305095,1,1.407588308571509e-4,Industrial Modelling and Geospatial Software skills
Roller conveyors,Tools and Equipment,Miscellaneous or unclassified,6,201.15529717607942,0,8.445529851429053e-4,NA
Rolling machines,Tools and Equipment,Miscellaneous or unclassified,12,226.77577156540679,0,0.0016891059702858107,NA
Rotary cutters,Tools and Equipment,Miscellaneous or unclassified,2,356.1336888637356,0,2.815176617143018e-4,NA
Rotary evaporators,Tools and Equipment,Miscellaneous or unclassified,4,148.1666344898578,0,5.630353234286036e-4,Workforce digital skills
