name,groupName,subGroupName,count,m,score,digital_assign,pct,lv.mod
Auto scrubbers,Tools and Equipment,Cleaning,60,349.2899036211255,394.0422980496498,0,0.07301313019457999,NA
Autoclaves,Tools and Equipment,"Health, safety and environmental",48,171.47682283179304,187.63821980382147,0,0.058410504155664,NA
Autodesk Architectural Studio,Technologies,Computer aided design CAD software,1,113.436814960809,200.8890945238255,1,0.0012168855032429998,Industrial Modelling and Geospatial Software skills
Autodesk AutoCAD,Technologies,Computer aided design CAD software,51,124.88663392172602,93.50464530380013,1,0.062061160665392995,Industrial Modelling and Geospatial Software skills
Autodesk AutoCAD Civil 3D,Technologies,Computer aided design CAD software,2,115.011810390569,91.35971747082881,1,0.0024337710064859996,Industrial Modelling and Geospatial Software skills
Autodesk Combustion,Technologies,Graphics or photo imaging software,7,179.9137073505167,212.11470922542972,1,0.008518198522700998,Workforce digital skills
Autodesk Fusion 360,Technologies,Computer aided manufacturing CAM software,2,99.7858472597028,160.0517574580524,1,0.0024337710064859996,Industrial Modelling and Geospatial Software skills
Autodesk Inventor,Technologies,Computer aided design CAD software,1,25.6421651828983,67.07456363696404,1,0.0012168855032429998,Industrial Modelling and Geospatial Software skills
Autodesk Maya,Technologies,Graphics or photo imaging software,2,113.436814960809,38.554068579534785,1,0.0024337710064859996,Design and Marketing skills
Autodesk Revit,Technologies,Computer aided design CAD software,31,111.68446446624283,80.29661052131584,1,0.037723450600533,Industrial Modelling and Geospatial Software skills
Autodesk Revit Architecture,Technologies,Computer aided design CAD software,1,115.011810390569,55.571049504830135,1,0.0012168855032429998,Industrial Modelling and Geospatial Software skills
Autodesk VIZ,Technologies,Computer aided design CAD software,1,113.436814960809,252.2528048840234,1,0.0012168855032429998,Software/Product Development skills
Automated circulation systems,Technologies,Library software,3,150.79237276025523,165.13741907889542,1,0.003650656509729,Cybersecurity and System Infrastructure skills
Automated external defibrillators AED,Tools and Equipment,Miscellaneous or unclassified,3,177.887660540241,176.45866394593028,0,0.003650656509729,NA
Automated locks,Tools and Equipment,Miscellaneous or unclassified,2,216.802140901872,216.802140901872,0,0.0024337710064859996,NA
Automation,Occupational Skills,Manufacturing,81,101.95933883591064,99.77440268749437,1,0.098567725762683,Software/Product Development skills
Automation Studio,Technologies,Analytical or scientific software,1,113.436814960809,98.642029596929,1,0.0012168855032429998,Workforce digital skills
Avid Pro Tools,Technologies,Music or sound editing software,1,NA,71.15633052992922,1,0.0012168855032429998,Design and Marketing skills
AWK,Technologies,Development environment software,1,NA,44.814228348964285,1,0.0012168855032429998,Software/Product Development skills
AWS Redshift,Technologies,Data base user interface and query software,1,15.7202010050251,25.38860455688793,1,0.0012168855032429998,Software/Product Development skills
Backhoes,Tools and Equipment,Building and facilities,3,315.55619864466433,341.68711511112855,0,0.003650656509729,NA
Backup servers,Technologies,Backup or archival software,2,5.38461538461538,44.441256127887556,1,0.0024337710064859996,Cybersecurity and System Infrastructure skills
Balance scales,Tools and Equipment,Office and business operations,17,130.26104631299376,218.40051693143312,0,0.020687053555130997,NA
Ballistic vests,Tools and Equipment,Miscellaneous or unclassified,1,NA,233.82013977892979,0,0.0012168855032429998,NA
Band saws,Tools and Equipment,Mechanical and plumbing,1,202.23525947081,325.4881552535654,0,0.0012168855032429998,NA
Bar code readers,Tools and Equipment,Miscellaneous or unclassified,1,41.9485357186619,124.58690534602408,0,0.0012168855032429998,NA
Barcode printers,Tools and Equipment,Miscellaneous or unclassified,1,5.38461538461538,91.41824111661825,0,0.0012168855032429998,Cybersecurity and System Infrastructure skills
Bash,Technologies,Operating system software,32,41.31860115496986,34.040887787071824,1,0.038940336103775994,Software/Product Development skills
Basic Life Support,Occupational Skills,Health services,2814,204.49796445588288,203.9294371673294,0,3.4243158061258017,NA
Basketball hoops,Tools and Equipment,Miscellaneous or unclassified,2,NA,367.9971610857819,0,0.0024337710064859996,NA
Beakers,Tools and Equipment,Miscellaneous or unclassified,1,NA,296.546087450915,0,0.0012168855032429998,NA
Bed cradles,Tools and Equipment,Miscellaneous or unclassified,6,182.21957979420532,199.44849091016465,0,0.007301313019458,NA
Behavior-Driven Development (BDD),Occupational Skills,Software and web development,1,NA,27.751034788694735,1,0.0012168855032429998,Software/Product Development skills
Beverage machines,Tools and Equipment,Miscellaneous or unclassified,2,NA,318.07473485792644,0,0.0024337710064859996,NA
Big Data,Technologies,Big Data,83,62.793349016729366,48.457173306082225,1,0.10100149676916899,Software/Product Development skills
Bilimeters,Tools and Equipment,Miscellaneous or unclassified,4,194.617526433227,194.617526433227,0,0.004867542012971999,NA
Bilingual,Social-Emotional Skills,Languages,7389,202.75066343160788,198.49589827179202,0,8.991566983462526,NA
Billing software,Technologies,Accounting software,16,188.4164590855047,162.72141266245058,1,0.019470168051887997,Workforce digital skills
Binoculars,Tools and Equipment,Miscellaneous or unclassified,4,113.436814960809,310.77994683724467,0,0.004867542012971999,NA
Bioconductor,Technologies,Analytical or scientific software,3,53.6552492597153,85.76436365362234,1,0.003650656509729,Software/Product Development skills
Biohazard containers,Tools and Equipment,Miscellaneous or unclassified,2,419.706761646705,298.96059223925374,0,0.0024337710064859996,NA
Biopsy forceps,Tools and Equipment,Miscellaneous or unclassified,2,328.030629853322,328.030629853322,0,0.0024337710064859996,NA
Biotechnology,Occupational Skills,Manufacturing,3,136.10624169090454,94.95607225592404,1,0.003650656509729,Cybersecurity and System Infrastructure skills
Blackbaud CRM,Technologies,Customer relationship management CRM software,13,NA,125.90459903045655,1,0.015819511542159,Workforce digital skills
BlackBerry Enterprise Server,Technologies,Operating system software,1,NA,7.918210339215349,1,0.0012168855032429998,Cybersecurity and System Infrastructure skills
Blackboard,Technologies,Data base user interface and query software,111,148.6360860144261,137.91409744307458,1,0.13507429085997297,Workforce digital skills
Blackboard Collaborate,Technologies,Computer based training software,8,134.362474261019,124.687142325794,1,0.009735084025943998,Workforce digital skills
Blackboard Learn,Technologies,Computer based training software,1,56.8140821635612,109.93403749459486,1,0.0012168855032429998,Workforce digital skills
Blockchain,Technologies,Storage networking software,10,103.24998145345016,88.20723502614278,1,0.012168855032429999,Software/Product Development skills
Blogger,Technologies,Web page creation and editing software,1,NA,144.22140619261882,1,0.0012168855032429998,Design and Marketing skills
Blogging software,Technologies,Web page creation and editing software,2,NA,108.874245939675,1,0.0024337710064859996,Design and Marketing skills
Blood collection tubes,Tools and Equipment,Miscellaneous or unclassified,2,57.11193455235395,57.11193455235395,1,0.0024337710064859996,Workforce digital skills
Blood gas analyzers,Tools and Equipment,Miscellaneous or unclassified,1,243.794360545865,243.794360545865,0,0.0012168855032429998,NA
Blood gas machines,Tools and Equipment,Miscellaneous or unclassified,2,220.18237122711798,220.2621615256906,0,0.0024337710064859996,NA
Blood pressure monitors,Tools and Equipment,Miscellaneous or unclassified,8,143.836896442911,160.2211436293289,0,0.009735084025943998,NA
Blood tubes,Tools and Equipment,Miscellaneous or unclassified,1,302.936398866682,131.645689719197,0,0.0012168855032429998,NA
Bloomberg,Technologies,Financial analysis software,10,170.3834855554675,197.13403037483351,1,0.012168855032429999,Software/Product Development skills
Blueprint Reading,Occupational Skills,Facilities maintenance and design,259,269.5663523931152,294.80396136983285,0,0.31517334533993696,NA
Bobcats,Tools and Equipment,Lifting equipment,9,295.0908505661155,391.18638231653904,0,0.010951969529186999,NA
Boilers,Tools and Equipment,Building and facilities,159,280.64295072633536,294.8801047053884,0,0.19348479501563698,NA
Bolsters,Tools and Equipment,Miscellaneous or unclassified,1,NA,217.037982832346,0,0.0012168855032429998,NA
BOMA BEST,Occupational Skills,Environmental and social sustainability,1,NA,168.9781265151355,0,0.0012168855032429998,NA
Bookkeeping software,Technologies,Accounting software,2,132.8579407341225,154.0142228008275,1,0.0024337710064859996,Workforce digital skills
Boom lifts,Tools and Equipment,Lifting equipment,2,NA,314.93990039317265,0,0.0024337710064859996,NA
BPS Compliance,Technologies,Compliance software,3,160.75646443545335,154.7986336918565,1,0.003650656509729,Workforce digital skills
Bracing equipment,Tools and Equipment,Miscellaneous or unclassified,1,NA,242.38534896484035,0,0.0012168855032429998,NA
Braille materials,Tools and Equipment,Miscellaneous or unclassified,4,NA,111.166102828295,0,0.004867542012971999,NA
Brazing equipment,Tools and Equipment,Industrial manufacturing,1,166.840884675158,182.15380817171095,0,0.0012168855032429998,NA
Breast pumps,Tools and Equipment,Miscellaneous or unclassified,6,194.617526433227,190.91743493788232,0,0.007301313019458,NA
Bronchoscopes,Tools and Equipment,Miscellaneous or unclassified,5,162.7643476440834,206.55860527394913,0,0.0060844275162149995,NA
Brush cutters,Tools and Equipment,Miscellaneous or unclassified,1,413.077363465137,309.21853488813616,0,0.0012168855032429998,NA
Brush trimmers,Tools and Equipment,Miscellaneous or unclassified,1,353.758821524338,427.16294118309924,0,0.0012168855032429998,NA
Bucket trucks,Tools and Equipment,Building and facilities,1,275.205208549449,241.91189464322818,0,0.0012168855032429998,NA
Budget monitoring systems,Technologies,Financial analysis software,2,134.362474261019,158.58308543558695,1,0.0024337710064859996,Workforce digital skills
Budgeting,Occupational Skills,Corporate finance and accounting,4853,153.05317101299315,166.9478727118111,0,5.905545347238279,NA
Budgeting software,Technologies,Accounting software,1,136.925141461066,132.2805133544058,1,0.0012168855032429998,Workforce digital skills
Buffing machines,Tools and Equipment,Mechanical and plumbing,4,435.6602868663056,431.0232983378903,0,0.004867542012971999,NA
Bugzilla,Technologies,Program testing software,1,388.579488353187,70.52296780875912,1,0.0012168855032429998,Software/Product Development skills
Building Automation Systems (BAS),Occupational Skills,Facilities maintenance and design,19,167.42350440140245,240.26291965504223,1,0.023120824561616998,Workforce digital skills
Building Information Modeling (BIM),Occupational Skills,Facilities maintenance and design,8,125.07069079376615,82.43536680538186,0,0.009735084025943998,Industrial Modelling and Geospatial Software skills
Burs,Tools and Equipment,Miscellaneous or unclassified,1,NA,325.35903683974334,0,0.0012168855032429998,NA
Business-to-Business (B2B),Occupational Skills,"Sales, marketing and communications",32,135.09031915298752,147.66161652523508,0,0.038940336103775994,NA
Business-to-Consumer (B2C),Occupational Skills,"Sales, marketing and communications",9,104.1592836826474,124.28571863029468,0,0.010951969529186999,NA
Business Analysis,Occupational Skills,Business analysis,487,103.09110327875254,62.2010967213015,1,0.592623240079341,Software/Product Development skills
Business Development,Occupational Skills,"Sales, marketing and communications",71,133.15229125319243,143.32754554236382,0,0.08639887073025299,NA
Business Intelligence,Occupational Skills,Business analysis,308,69.86501713409959,63.305502623378125,1,0.374800734998844,NA
Business intelligence software,Technologies,Business intelligence and data analysis software,9,55.60432187705264,77.23345472518734,1,0.010951969529186999,Software/Product Development skills
Business management software,Technologies,Data base user interface and query software,1,133.512574019371,140.2424595367392,1,0.0012168855032429998,Workforce digital skills
Business Planning,Occupational Skills,Business planning and operations,269,132.53084458772759,135.43236617917532,0,0.32734220037236694,NA
Business Process,Occupational Skills,Business planning and operations,368,70.11617327612899,78.93479792876583,0,0.447813865193424,NA
Business process management BPM software,Technologies,Enterprise resource planning ERP software,2,NA,50.68286009850408,1,0.0024337710064859996,Software/Product Development skills
Business software applications,Technologies,Office suite software,3,NA,166.23685345033485,1,0.003650656509729,Workforce digital skills
Business Strategy,Occupational Skills,Business planning and operations,65,137.78850414211917,124.14045854639649,0,0.07909755771079499,NA
Business Systems Analysis,Occupational Skills,Business analysis,198,38.23737958012523,31.504194300360595,1,0.24094332964211396,Software/Product Development skills
Business Valuation,Occupational Skills,Corporate finance and accounting,3,115.011810390569,100.71764743729273,0,0.003650656509729,NA
C#,Technologies,Object or component oriented development software,72,36.85974699185044,21.94632409606908,1,0.08761575623349599,Software/Product Development skills
C++,Technologies,Object or component oriented development software,65,67.90481779387837,32.64662831136568,1,0.07909755771079499,Software/Product Development skills
Cable testers,Tools and Equipment,Miscellaneous or unclassified,2,13.125,11.65760188742275,1,0.0024337710064859996,Cybersecurity and System Infrastructure skills
Calendar management software,Technologies,Calendar and scheduling software,1,302.936398866682,150.08504597040613,1,0.0012168855032429998,Workforce digital skills
Calendar software,Technologies,Calendar and scheduling software,6,153.3925869380345,168.42213040300908,1,0.007301313019458,Workforce digital skills
Calipers,Tools and Equipment,Mechanical and plumbing,4,313.04683020546736,258.8358303707628,0,0.004867542012971999,NA
Call-processing language CPL,Technologies,Development environment software,1,32.0006309894704,82.76310817665404,1,0.0012168855032429998,Software/Product Development skills
Call tracking software,Technologies,Helpdesk or call center software,3,NA,104.5812558942599,1,0.003650656509729,Cybersecurity and System Infrastructure skills
Camcorders,Tools and Equipment,Miscellaneous or unclassified,2,216.480415513536,197.71360091926005,0,0.0024337710064859996,NA
Campaign Monitor,Technologies,Desktop publishing software,8,98.73806572663091,115.96534993733628,1,0.009735084025943998,Design and Marketing skills
Cannulas,Tools and Equipment,Miscellaneous or unclassified,3,194.617526433227,187.3252926827865,0,0.003650656509729,NA
Cantonese language,Social-Emotional Skills,Languages,51,220.8433288244039,240.35839740016146,0,0.062061160665392995,NA
Capacity planning,Occupational Skills,Business planning and operations,79,120.6085979318147,101.9032544533026,0,0.09613395475619699,NA
Carbon capture and storage,Occupational Skills,Environmental and social sustainability,44,166.05713888842945,159.61458091915296,0,0.053542962142692,NA
Card readers,Tools and Equipment,Miscellaneous or unclassified,2,NA,117.51532997567287,0,0.0024337710064859996,NA
Cardiac monitoring equipment,Tools and Equipment,Miscellaneous or unclassified,3,194.617526433227,194.617526433227,0,0.003650656509729,NA
Cardiac monitors,Tools and Equipment,Medical and dental,52,192.2350424693228,192.49387492269173,0,0.063278046168636,NA
Cardiac ultrasound equipment,Tools and Equipment,Miscellaneous or unclassified,1,215.535060360647,215.535060360647,0,0.0012168855032429998,NA
Carousels,Tools and Equipment,Miscellaneous or unclassified,2,253.30241938624602,218.65498550225226,0,0.0024337710064859996,NA
Cartography,Occupational Skills,Natural sciences,29,106.26709934744586,79.83936957956001,0,0.035289679594046997,NA
Cascading Style Sheets (CSS),Technologies,Web platform development software,452,46.455743144095294,82.15253522539017,1,0.550032247465836,Software/Product Development skills
Case management software,Technologies,Medical software,11,116.36468957147235,160.735640433651,1,0.013385740535673,Software/Product Development skills
Cash drawers,Tools and Equipment,Office and business operations,5,213.013901199895,254.31097204057062,0,0.0060844275162149995,NA
Cash handling,Occupational Skills,Retail trade,40,196.92826394941827,254.95930912741017,0,0.048675420129719996,NA
Cash registers,Tools and Equipment,Office and business operations,208,318.98862379794326,294.7270050103661,0,0.253112184674544,NA
Catheters,Tools and Equipment,Medical and dental,118,201.1926930448085,201.88158642835532,0,0.143592489382674,NA
